Game,ReleaseDate,Genre,TotalEarnings,OnlineEarnings,TotalPlayers,TotalTournaments
,1999,Sports,60500,60500,11,4
,2012,Fighting Game,60008.54,60008.54,78,26
,2016,Strategy,60000,0,35,9
,2020,Sports,60000,0,34,3
,2004,Role-Playing Game,58000,58000,12,2
,2004,Sports,57728.01,57728.01,5,8
,2011,Sports,54431.52,47279.42,53,66
,2016,Role-Playing Game,54250,0,56,2
,2002,Sports,54066.44,54066.44,10,3
,2007,Strategy,53086.67,53086.67,9,8
,2002,Strategy,52360,52000,22,6
,2018,Racing,51520,51520,5,2
,2003,First-Person Shooter,50629.77,50629.77,51,3
,2003,First-Person Shooter,50300,50300,37,3
,2019,First-Person Shooter,50000,0,16,1
,1999,First-Person Shooter,50000,50000,1,1
,2019,Multiplayer Online Battle Arena,50000,0,64,2
,2019,Fighting Game,50000,0,20,2
,1999,Sports,50000,50000,4,1
,2015,Sports,50000,50000,8,1
,2020,Battle Royale,50000,0,42,1
,2020,Third-Person Shooter,50000,0,48,2
,1999,Fighting Game,49378.86,49278.86,83,35
,2016,Collectible Card Game,48746.72,0,328,219
,2015,Fighting Game,46553.33,46553.33,98,34
,2016,First-Person Shooter,46235.07,46235.07,5,1
,2000,Sports,46000,46000,9,2
,2010,Fighting Game,44724.28,44724.28,107,43
,2004,Racing,44000,44000,5,2
,2002,Sports,43000,43000,8,1
,2017,Fighting Game,42482.12,42482.12,49,19
,2011,Multiplayer Online Battle Arena,41905.32,40850,43,12
,2004,Sports,40550.64,40550.64,11,2
,2001,First-Person Shooter,40000,40000,1,1
,2003,Sports,40000,40000,3,3
,2007,Fighting Game,39830,39830,14,7
,2000,Fighting Game,39060,39050,60,28
,2015,Fighting Game,38868.62,36737,48,18
,2007,Strategy,38460,200,1090,12
,2014,Fighting Game,37445.66,37445.66,80,38
,2012,Fighting Game,37020.58,37020.58,63,15
,2016,Fighting Game,36437.43,36437.43,61,19
,2015,Strategy,36400,30400,18,5
,2006,Racing,36322.58,36322.58,12,4
,2005,Racing,35694.54,35694.54,18,7
,2004,Racing,35629.48,35629.48,8,3
,2013,Fighting Game,35176.89,35176.89,101,117
,2003,Racing,35000,35000,3,1
,2003,Racing,35000,35000,4,2
,2015,Sports,33827.08,0,6,2
,2020,Fighting Game,33628.66,33628.66,10,2
,2002,Strategy,32866.58,0,116,9
,2007,Racing,32208.46,32208.46,12,3
,2005,Sports,32000,32000,4,1
,2018,Strategy,31911.1,31911.1,6,1
,2004,Fighting Game,30000,30000,3,1
,2008,Racing,29500,29500,5,2
,2013,Sports,29410.25,29410.25,4,1
,2017,Racing,27511,27511,75,7
,2019,Third-Person Shooter,27250,0,40,2
,2015,Sports,27243.84,27243.84,17,6
,1989,Puzzle Game,26660.5,15500,41,11
,2014,Sports,26544.76,26544.76,3,1
,2019,Strategy,26024.18,0,62,36
,2011,First-Person Shooter,25407.46,25407.46,5,7
,2007,Racing,25208.46,25208.46,5,4
,2003,Sports,25000,25000,8,2
,2010,Fighting Game,24591.01,24591.01,14,5
,2001,Fighting Game,24186.79,24186.79,36,19
,2006,First-Person Shooter,24000,24000,0,2
,2007,First-Person Shooter,24000,24000,0,3
,1994,Fighting Game,23678.05,23678.05,104,44
,2018,Sports,22566.67,19566.67,10,8
,2011,Fighting Game,22343.62,22343.62,38,12
,2011,Racing,22098.74,16559.04,21,36
,2010,Fighting Game,20877.3,20877.3,40,16
,2017,Fighting Game,20275.4,20064,43,26
,2006,Sports,20216.82,20216.82,5,2
,2017,Racing,20163,20163,12,1
,2017,Fighting Game,20130.77,13261.93,110,88
,2016,Strategy,20000,0,16,2
,2019,Fighting Game,19596,0,20,1
,2007,Sports,19000,19000,8,2
,2013,Fighting Game,18828.16,18828.16,58,19
,2006,First-Person Shooter,18546.14,18546.14,0,4
,2015,Fighting Game,18321,17871,34,12
,2019,Fighting Game,16623,0,40,3
,2008,Fighting Game,16360,16360,29,8
,2005,Racing,15083.56,0,51,4
,2005,First-Person Shooter,14068.57,10286.47,50,8
,2015,First-Person Shooter,13463.28,13463.28,20,1
,2020,Strategy,13000,0,27,4
,2015,First-Person Shooter,12606.41,2500,4,3
,2001,Fighting Game,12500,12500,4,4
,2017,Multiplayer Online Battle Arena,12339.33,0,35,1
,2006,Fighting Game,12180,12180,18,5
,2008,Puzzle Game,12000,12000,3,1
,2003,Racing,11599.14,9219.14,22,9
,2007,First-Person Shooter,11340.95,11340.95,0,2
,2009,Racing,11000,11000,3,2
,2019,Fighting Game,10995,10995,56,8
,2009,Racing,10500,10500,3,1
,2009,Sports,10500,10500,3,1
,2007,Fighting Game,10365,10365,33,4
,2005,Fighting Game,10250,10250,6,2
,2003,Fighting Game,10250,10250,8,1
,2004,Fighting Game,10250,10250,10,9
,2017,First-Person Shooter,10055,9755,13,7
,1995,Strategy,10000,0,6,1
,2019,Racing,10000,10000,5,2
,1997,Fighting Game,9185.95,8038.74,32,18
,2014,Fighting Game,9155.4,9155.4,37,13
,2010,Fighting Game,8587.76,6135,48,18
,2013,Strategy,8561.22,7956.22,11,6
,2017,First-Person Shooter,8480.72,0,57,17
,2015,Fighting Game,8163.82,8163.82,45,19
,2008,First-Person Shooter,8000,0,37,8
,1998,Fighting Game,7945.57,7945.57,7,3
,2009,Fighting Game,7938.22,7938.22,41,12
,2002,First-Person Shooter,7679.25,7679.25,0,1
,2001,Racing,7679.25,7679.25,0,1
,2017,Fighting Game,7430,7420,9,3
,2011,Third-Person Shooter,7255.81,4555.81,13,4
,2016,First-Person Shooter,7000,7000,6,1
,2012,Fighting Game,6336.63,6336.63,42,11
,2014,Fighting Game,6025.76,6025.76,52,23
,2002,Racing,5933.5,5933.5,0,1
,2013,Fighting Game,5840,5840,27,11
,2010,First-Person Shooter,5489.65,26.07,133,25
,2018,Fighting Game,5343.92,1677.75,25,11
,2018,Racing,5338,0,10,13
,2016,First-Person Shooter,5084.97,0,82,8
,2011,First-Person Shooter,5000,5000,3,1
,2017,Collectible Card Game,5000,5000,3,1
,2015,Fighting Game,4918.77,4918.77,28,11
,2007,Strategy,4901.26,4901.26,0,1
,2007,First-Person Shooter,4901.26,4901.26,0,1
,2003,Fighting Game,4790,4790,15,7
,1994,First-Person Shooter,4680,2200,11,6
,2012,Fighting Game,4640,4640,61,19
,2016,Fighting Game,4550,2000,7,5
,2017,Fighting Game,4178.55,4178.55,2,1
,1994,Strategy,4172.16,4132.16,32,11
,2019,Fighting Game,4135,2610,18,4
,2017,Collectible Card Game,4100,0,12,5
,1993,Sports,3818.56,3818.56,25,8
,2011,Strategy,3778.56,0,17,10
,2014,Puzzle Game,3422.84,1617.75,31,16
,2001,Racing,3250,3250,4,2
,1995,Fighting Game,3201.19,3191.19,18,11
,2014,Sports,3157.16,3157.16,3,3
,2013,Sports,3023.96,3023.96,6,3
,2020,Puzzle Game,2992.61,0,19,11
,2015,Fighting Game,2852.8,2667.3,31,10
,2019,Puzzle Game,2482.3,2071.8,14,5
,2015,First-Person Shooter,2158.4,163.66,21,7
,2007,Sports,2084.15,2084.15,6,3
,2016,Strategy,2000,0,50,1
,2015,Fighting Game,1994,1994,10,4
,2009,Fighting Game,1879.61,220,17,5
,2017,Racing,1754.44,1754.44,30,4
,2016,Fighting Game,1665,1615,13,6
,2018,Fighting Game,1642.96,1632.96,16,7
,2011,Puzzle Game,1545,1470,11,7
,2003,Sports,1500,1500,3,1
,2008,Sports,1395.97,0,5,2
,2015,First-Person Shooter,1390,0,3,4
,2019,Fighting Game,1390,530,11,4
,1996,Fighting Game,1390,1390,17,8
,2010,Fighting Game,1330.81,1330.81,13,8
,2000,Fighting Game,1311.6,0,7,2
,2007,Strategy,1290.01,1290.01,0,1
,2019,Strategy,1175,0,6,2
,2020,Fighting Game,1050,1000,7,2
,2015,Multiplayer Online Battle Arena,1029.21,0,20,1
,2006,Racing,1027.5,1027.5,3,1
,2009,Fighting Game,1000,1000,4,1
,2015,Fighting Game,1000,1000,3,1
,2013,Fighting Game,945.41,945.41,29,5
,2019,Fighting Game,920,770,12,4
,1993,Fighting Game,820,820,7,2
,2020,Strategy,800,0,4,1
,2013,Racing,779.34,779.34,6,2
,2009,Fighting Game,760,760,6,2
,2020,Collectible Card Game,752,0,21,7
,2014,Fighting Game,750,0,5,2
,2011,Sports,702.93,702.93,6,2
,2016,Racing,679.41,0,6,2
,1999,Fighting Game,658.71,513.71,13,4
,2019,Fighting Game,630.68,0,9,4
,2004,Fighting Game,590.57,490.11,15,5
,2018,Fighting Game,580,530,10,4
,2010,Fighting Game,573.77,573.77,28,6
,2014,Fighting Game,570,520,8,4
,2020,Fighting Game,500,0,8,1
,2015,Multiplayer Online Battle Arena,472.66,0,0,1
,2019,First-Person Shooter,430,0,12,6
,2018,Fighting Game,430,430,3,1
,2018,Fighting Game,410,210,8,3
,2013,Fighting Game,410,410,6,2
,1999,Fighting Game,350,350,5,2
,2019,Fighting Game,320,320,3,1
,2017,Fighting Game,300,0,3,1
,2012,Fighting Game,300,300,3,1
,2018,Fighting Game,300,0,3,1
,1998,Fighting Game,300,300,15,4
,2019,Fighting Game,299.06,0,4,1
,1999,Fighting Game,284.99,0,5,2
,2017,First-Person Shooter,280,280,6,1
,2014,Puzzle Game,275,0,12,2
,2011,Fighting Game,245,245,5,2
,2016,Multiplayer Online Battle Arena,225,0,3,1
,2020,Fighting Game,222.86,0,4,1
,2014,Puzzle Game,221,221,3,1
,2018,Strategy,220,220,4,1
,2019,Racing,218.75,218.75,3,1
,2004,Fighting Game,204.06,204.06,3,1
,2001,Fighting Game,200,0,5,2
,2020,Fighting Game,200,0,3,1
,2005,Fighting Game,200,0,3,1
,1994,Fighting Game,195,195,3,1
,2011,Puzzle Game,190.95,0,3,1
,2004,Fighting Game,190,0,4,2
,2019,Puzzle Game,185,185,3,1
,2012,First-Person Shooter,183,0,2,1
,2000,Fighting Game,165,165,3,1
,1995,Fighting Game,150,150,6,2
,2005,Fighting Game,145,145,3,1
,2000,Fighting Game,140,140,6,2
,2013,Fighting Game,140,140,3,1
,2010,Fighting Game,140,90,6,2
,2011,Racing,132.37,132.37,2,1
,1997,Puzzle Game,130,130,3,1
,2020,Fighting Game,100,0,3,1
,1996,Puzzle Game,100,0,3,1
,2018,Sports,61.3,0,6,2
,2014,Fighting Game,60,60,3,1
,2016,Fighting Game,60,0,3,1
,2019,Fighting Game,60,60,3,1
,2019,Fighting Game,50,0,3,1
,2002,Fighting Game,50,0,3,1
,2019,Fighting Game,50,0,3,1
,2005,Fighting Game,50,0,3,1
,2016,Racing,50,0,3,1
,2020,Puzzle Game,40,0,3,1
,2008,Fighting Game,35,35,3,1
,1998,Fighting Game,32,32,3,1
,1995,Fighting Game,30,0,3,1
,2005,Fighting Game,25,25,3,1
,2007,Fighting Game,20,0,3,1
,2019,Fighting Game,20,0,3,1
,1998,Fighting Game,20,0,3,1
,1998,Fighting Game,16,0,3,1
,1998,Fighting Game,10,0,3,1
,2015,Strategy,0,0,0,0
,2020,Strategy,0,0,0,0
,2009,Strategy,0,0,0,0
,2016,First-Person Shooter,0,0,0,0
,2018,First-Person Shooter,0,0,0,0
,2019,First-Person Shooter,0,0,0,0
,2017,First-Person Shooter,0,0,0,0
,2015,First-Person Shooter,0,0,0,0
,2020,First-Person Shooter,0,0,0,0
,2018,First-Person Shooter,0,0,0,0
,2017,First-Person Shooter,0,0,0,0
,2005,First-Person Shooter,0,0,0,0
,2004,Multiplayer Online Battle Arena,0,0,0,0
